Transaction ID,Date,Customer ID,Customer Name,Age,Gender,Product ID,Product Name,Product Category,Unit Price,Quantity
TR-24,2024-01-24,1502,ZiuxswIB,58,Female,1,lSjvna,Clothing,292.2405625842176,1
TR-25,2024-01-25,3316,ovFQNtYd,69,Female,10,PLCfNv,Clothing,355.293119324829,2
TR-26,2024-01-26,4189,LgOJaltZ,47,Male,9,sWjghS,Clothing,359.9293687416659,1
TR-27,2024-01-27,4768,CxKJRAvk,25,Male,3,vRmAoQ,Books,781.0884571666721,5
TR-28,2024-01-28,8334,CImRxSNq,21,Male,4,nRvpKZ,Clothing,933.7088588786334,5
TR-29,2024-01-29,5053,oSvBKnZO,42,Male,3,ECHAvW,Clothing,21.1134822705693,1
TR-30,2024-01-30,8733,glkYhZoP,64,Male,4,kjmeul,Clothing,843.811520921092,2
TR-31,2024-01-31,3384,JMQmFNRR,29,Female,3,wyQPOy,Clothing,483.79998282427147,3
TR-32,2024-02-01,9638,llviAqIC,62,Male,2,JMzHAi,Electronics,622.0342195665178,1
TR-33,2024-02-02,6646,VDiEpJnk,58,Male,4,BOKGxs,Books,219.5070673512438,5
TR-34,2024-02-03,6776,lXSxOWAl,64,Female,7,DDTSCI,Books,882.1694841705274,2
TR-35,2024-02-04,3047,iYmqeBrX,68,Female,7,pAYzsy,Books,240.4540724447153,5
TR-36,2024-02-05,9128,VkolHyqG,60,Female,1,YpLQDY,Electronics,769.641778449849,4
TR-37,2024-02-06,2680,xdOrOKjx,30,Female,3,pLvtgW,Books,150.7635832351484,2
TR-38,2024-02-07,2980,cySCbAqp,20,Male,10,Vlyogw,Books,707.2768363537489,4
TR-39,2024-02-08,9181,BdyAvPav,33,Female,6,nWaJrE,Electronics,845.504069230338,3
TR-40,2024-02-09,2042,jKQnvzPR,66,Female,8,UXAzfY,Books,790.2968736581773,5
TR-41,2024-02-10,1189,PTBctlkk,48,Female,9,CfOUva,Electronics,168.65402877233066,5
TR-42,2024-02-11,3366,bgivUCCY,66,Female,9,fAJBjk,Books,239.24380219258487,3
TR-43,2024-02-12,2302,VJEwRVca,44,Female,5,SqQEjE,Clothing,231.78301007496762,4
TR-44,2024-02-13,6971,PIwDMnSu,70,Female,2,SFEuQa,Books,139.87162464988833,3
TR-45,2024-02-14,1331,IFeVBlAc,33,Female,9,eVsdpD,Books,766.5361583638638,1
TR-46,2024-02-15,2185,CSceDHyv,19,Female,1,PDFuqT,Books,712.4084685795427,5
TR-47,2024-02-16,8323,dqfAiFJW,26,Male,2,jkWmrV,Books,860.8983485548907,2
TR-48,2024-02-17,8520,OTYFEYdR,41,Male,9,MJPcvL,Electronics,647.8802527229996,5
TR-49,2024-02-18,7971,etXnFdEc,31,Male,7,YMWESF,Clothing,480.46932394802565,5
TR-50,2024-02-19,9250,gMdkMvGr,43,Male,8,OpHFgH,Books,249.59283139475525,3
TR-51,2024-02-20,4884,ryfLDTNS,44,Male,10,KMcKFA,Electronics,652.6302355698161,1
TR-52,2024-02-21,4471,DaDokBQC,32,Male,10,jhmKkL,Books,450.9327628549886,4
TR-53,2024-02-22,2107,UDCBpXRP,51,Male,4,ZVVuTo,Books,764.6570031142276,3
TR-54,2024-02-23,2666,TcVzIjYI,63,Male,3,mLyAjY,Books,678.0302860908879,1
TR-55,2024-02-24,8964,pyAPPKhl,37,Male,8,Twafwh,Clothing,791.6563426960527,3
TR-56,2024-02-25,8454,PBQtSvdZ,28,Male,7,wHyunP,Electronics,485.8832004282256,1
TR-57,2024-02-26,3654,zUrKWhbC,21,Male,10,DOSJyC,Books,627.9553625944183,1
TR-58,2024-02-27,9344,EmUClyfh,40,Male,2,wBGSXc,Books,889.4988869920335,4
TR-59,2024-02-28,3906,wSQvGHpm,47,Female,6,oGKOBR,Books,260.868210486579,4
TR-60,2024-02-29,7780,OsqZTAof,44,Male,9,oigXCG,Books,60.49619524578619,3
TR-61,2024-03-01,5805,quXWfviu,23,Male,3,xedMDH,Electronics,972.5333716472466,1
TR-62,2024-03-02,1485,GdeVviIw,33,Male,6,GFhdGq,Books,456.74536029291056,5
TR-63,2024-03-03,5042,AdjlmEGO,30,Female,7,bWvihc,Clothing,904.2921700487694,4
TR-64,2024-03-04,9009,mVbCxlYu,32,Female,1,sblnfl,Clothing,719.8097164472367,2
TR-65,2024-03-05,3262,ZgmuDgGC,33,Female,7,nIChlu,Electronics,286.11580628027417,5
TR-66,2024-03-06,9160,MXQyrrVN,27,Female,9,pDTOEA,Electronics,116.07947231963149,1
TR-67,2024-03-07,4363,JODddJjp,31,Male,3,qCBWJT,Books,702.4313494891983,3
TR-68,2024-03-08,7243,FkpkQUrO,67,Female,10,hQIqwj,Clothing,630.0977794439763,2
TR-69,2024-03-09,8318,COuiRIrZ,37,Male,9,qnyxrg,Clothing,154.14338501760307,4
TR-70,2024-03-10,9327,REXpaepL,39,Male,10,JjzcIC,Clothing,623.8993619685726,2
TR-71,2024-03-11,1217,JpRupwRU,60,Male,8,rgJqHl,Books,622.5775930054723,2
TR-72,2024-03-12,6402,zWfGPpIo,34,Female,2,zppdUc,Books,12.295025820138434,5
TR-73,2024-03-13,2373,jeMQWWkv,29,Male,7,UwfuFu,Books,501.91702239059424,3
TR-74,2024-03-14,7678,KaGMRzEd,68,Male,10,TMTFCf,Electronics,239.1933363389413,4
TR-75,2024-03-15,3420,OBRGTjJV,54,Female,1,nlYEpS,Books,425.4518087541035,2
TR-76,2024-03-16,1669,IsBoYeEi,39,Female,8,hVHLZM,Books,751.0350459393992,4
TR-77,2024-03-17,5194,jZVQdDgr,25,Female,7,ZkbADI,Electronics,545.7020512192241,3
TR-78,2024-03-18,2370,SgYTlqtn,24,Female,6,gHoNDL,Electronics,169.14150352722876,5
TR-79,2024-03-19,1457,tqruPmIe,25,Male,10,xFfGZl,Books,204.5726990358966,3
TR-80,2024-03-20,1939,LQWpDfpd,44,Female,10,VkDuJg,Clothing,57.06784131500959,4
TR-81,2024-03-21,2504,pZZAsKzp,63,Male,5,YjZKlO,Books,554.7661212229069,3
TR-82,2024-03-22,5528,TUvBJadH,67,Female,8,nUjKmr,Electronics,948.0496397640247,5
TR-83,2024-03-23,5527,twhLeOlW,28,Female,7,xdLxmS,Clothing,857.4862538052024,5
TR-84,2024-03-24,5796,ACGhULPp,31,Female,5,iVMZpq,Books,516.9143301288054,1
TR-85,2024-03-25,7487,qzFzyOUi,27,Male,1,fQgxsT,Books,145.78607121802983,3
TR-86,2024-03-26,4960,RfDfoijE,30,Male,4,hQWeNb,Clothing,546.5260348486051,3
TR-87,2024-03-27,5013,HqWFBoTB,44,Male,2,udmRtS,Books,229.31791373518672,1
TR-88,2024-03-28,4757,MZguGLPT,36,Male,6,qLarwm,Clothing,610.0131345660568,4
TR-89,2024-03-29,6249,XgEGXwMU,23,Female,4,iLKMBi,Books,364.0791100229498,1
TR-90,2024-03-30,5918,ItJDGmHz,56,Male,8,mUZHsy,Clothing,499.1536343658185,2
TR-91,2024-03-31,5547,mqzVXCfD,21,Female,6,EmlWhL,Electronics,358.0237187405473,4
TR-92,2024-04-01,1776,fXaBQqcL,57,Male,1,DfXvwu,Electronics,968.2827823094077,5
TR-93,2024-04-02,2847,VdhLUfea,19,Male,8,GuXAZI,Clothing,419.32103032807373,2
TR-94,2024-04-03,8446,KjOBrAgR,41,Female,8,prtfDI,Electronics,610.4390808067882,3
TR-95,2024-04-04,1434,TriQJwnF,62,Male,2,bUPArX,Clothing,965.0769887913956,3
TR-96,2024-04-05,6209,ZsOtlRHa,64,Male,2,uaytPw,Electronics,715.3905045990344,2
TR-97,2024-04-06,3671,VVcXkJdv,56,Male,1,YudCbc,Electronics,901.9732852231518,1
TR-98,2024-04-07,4445,CTTESJJZ,37,Male,3,DSKJwx,Clothing,127.71372991999792,4
TR-99,2024-04-08,7687,FgCaAyLD,63,Female,9,pTlene,Electronics,21.551677312942196,5
TR-100,2024-04-09,8846,XKOdBQBp,53,Female,9,yOStEQ,Electronics,663.8151546524618,5
TR-101,2024-04-10,2887,oygBXCBz,67,Male,7,NaDPlk,Clothing,427.9224156588805,5
TR-102,2024-04-11,2524,xnZXMacu,41,Female,10,vSkqVy,Electronics,924.7772894331156,5
TR-103,2024-04-12,7777,iFcGVmpb,52,Female,9,NUSMmz,Electronics,656.0450359586949,1
TR-104,2024-04-13,6066,nXiyUkOe,49,Female,3,NHoKko,Clothing,402.7214921266538,3
TR-105,2024-04-14,6005,JhWGNwZm,58,Female,8,BrZqmI,Clothing,591.6797981389043,1
TR-106,2024-04-15,7390,tHkdDabs,27,Male,2,vKHfJN,Books,397.8269279011069,2
TR-107,2024-04-16,1902,TqIpLHxb,33,Female,10,AMmgMm,Books,778.3564370719151,3
TR-108,2024-04-17,1354,cOlHTROs,50,Male,7,UFCFBj,Electronics,219.1840419145595,5
TR-109,2024-04-18,5255,SBtbNvZE,40,Female,6,hXWqmE,Books,617.4322725042823,2
TR-110,2024-04-19,5823,LMMWTemj,22,Male,4,esWVzI,Electronics,227.64166860396423,4
TR-111,2024-04-20,3833,QXZKaagQ,28,Male,4,tCecxC,Clothing,420.0532175882693,3
TR-112,2024-04-21,5603,xAmpafvA,20,Female,5,arFHRs,Electronics,784.1702319202496,1
TR-113,2024-04-22,8017,GPKxkUbw,56,Female,9,zwLJBy,Clothing,743.0234195020571,1
TR-114,2024-04-23,5112,MvItjdyT,40,Female,4,aGyJVv,Clothing,84.47293441267126,4
TR-115,2024-04-24,9272,UUwOCRty,22,Male,6,MkRzVy,Clothing,842.1790770231669,1
TR-116,2024-04-25,5544,qdWIKlGC,62,Male,5,IGjTmg,Clothing,705.89925916051,4
TR-117,2024-04-26,6075,lgaiUTNP,62,Female,6,jBkDPV,Books,907.1584432511297,5
TR-118,2024-04-27,5484,pJEcAwbz,27,Male,7,bqIZCj,Books,555.875476545976,2
TR-119,2024-04-28,5172,xILfFqFX,23,Male,7,XOXXqH,Electronics,872.2694354339792,5
TR-120,2024-04-29,1152,bscUmtBc,49,Female,4,ZVSMgC,Clothing,442.40020219241495,1
TR-121,2024-04-30,3921,ZxGsSiUd,27,Male,8,DfAtCE,Clothing,627.285109402083,5
TR-122,2024-05-01,2098,DGrkIHIX,59,Male,7,gBnfQg,Electronics,441.6191414582528,4
TR-123,2024-05-02,1337,NnTfAJrm,50,Male,8,dZOHin,Books,494.99042894320155,5
TR-124,2024-05-03,5571,sgnrNzAF,43,Male,2,IAledE,Clothing,900.0208666701282,3
TR-125,2024-05-04,6108,KYbmRmno,26,Male,9,ZloAqP,Books,556.947013353008,3
TR-126,2024-05-05,9714,YIhkwKuw,43,Female,4,wcPEPJ,Electronics,823.142559653808,4
TR-127,2024-05-06,1030,QHnfhVZZ,19,Female,9,BJVQjL,Books,182.68557874991052,1
TR-128,2024-05-07,4977,nOolyZsn,22,Female,5,ODXJDp,Clothing,933.5996097292249,1
TR-129,2024-05-08,3722,YKQhEduE,40,Female,8,TLAkat,Books,955.7140207264647,4
TR-130,2024-05-09,3219,lbmSCSFm,22,Male,2,BcABDj,Electronics,529.699224793762,2
TR-131,2024-05-10,3241,BuVaQtDW,37,Female,3,FKfngd,Electronics,350.6935648606765,5
TR-132,2024-05-11,5262,zpjODhyu,22,Male,5,TbkHPQ,Electronics,690.3932420977106,4
TR-133,2024-05-12,2289,IvzgsXIC,32,Female,10,NsYZZZ,Books,689.7587387699351,1
TR-134,2024-05-13,6489,JjpByytH,67,Male,3,GCsWUI,Clothing,565.3768366808731,2
TR-135,2024-05-14,7112,VnxQvFqh,48,Female,10,ACYQrF,Clothing,270.84433534323114,3
TR-136,2024-05-15,3431,qTySxCDa,19,Female,8,NYyxzI,Books,621.6437709066961,4
TR-137,2024-05-16,4500,JfigMmOw,19,Female,9,KcFnOt,Electronics,259.4404047768388,4
TR-138,2024-05-17,8405,DhjgRMpC,38,Male,1,EHSIFz,Electronics,411.6063157739101,5
TR-139,2024-05-18,5055,bKDWKJOc,50,Male,5,HSNbwe,Books,374.8639493602592,1
TR-140,2024-05-19,2777,CGvPffjE,61,Female,9,vHGTvr,Clothing,712.5619939690362,1
TR-141,2024-05-20,6508,FNeznbyp,67,Male,4,blkHPH,Electronics,864.3453195482717,3
TR-142,2024-05-21,8555,QJIBtPQM,38,Female,10,KamemF,Clothing,180.85853416364208,5
TR-143,2024-05-22,6787,QNohlcuF,68,Female,7,YvqFhU,Clothing,293.1245029380057,1
TR-144,2024-05-23,8436,HsjePUgv,50,Male,4,AspDkI,Clothing,586.3783561015072,5
TR-145,2024-05-24,1631,bVDIpCdU,37,Male,4,rZSSFc,Clothing,552.3652362749972,2
TR-146,2024-05-25,8888,VMyIffmE,52,Male,10,EKGlQd,Books,211.50234711673608,3
TR-147,2024-05-26,6639,mCyVUMfO,21,Male,4,MUobhp,Clothing,783.7391036766093,2
TR-148,2024-05-27,1754,RrkeQtnh,50,Female,5,voejgf,Books,456.533721245665,1
TR-149,2024-05-28,8701,cnEujjcN,54,Female,10,dqOOeQ,Clothing,675.1200327970591,5
TR-150,2024-05-29,4211,diLZNHBd,56,Male,5,diNddY,Books,887.7958272181605,2
TR-151,2024-05-30,5384,nbfrKLSw,35,Female,6,qxSDqj,Clothing,151.2698602476652,3
TR-152,2024-05-31,6412,FbKFqsta,48,Male,10,VjzJmZ,Books,324.8501406250273,5
TR-153,2024-06-01,9865,nHYwoDDa,18,Female,5,PWYCRl,Electronics,997.7821642139726,3
TR-154,2024-06-02,7826,EUIGSJCv,25,Male,10,VAycBX,Books,296.8290451156801,1
TR-155,2024-06-03,2085,OzsctLPt,40,Female,5,qgqMkR,Electronics,983.8143864208478,2
TR-156,2024-06-04,6862,hzlnuIVw,59,Female,6,DprNhv,Books,567.0861656072037,3
TR-157,2024-06-05,4690,TeMoHsVQ,57,Female,9,vFeixV,Electronics,45.14026593846137,2
TR-158,2024-06-06,4995,nWgPEQjE,22,Male,6,afKYTm,Electronics,698.1078491240631,2
TR-159,2024-06-07,1913,RwyIZyTB,44,Female,7,YANMTe,Books,651.2583660291798,4
TR-160,2024-06-08,7612,vqyRwWlr,37,Female,3,eFLiUi,Electronics,671.1499952262512,4
TR-161,2024-06-09,2024,vDiUmNBA,39,Male,6,DDiUkQ,Clothing,139.87337898583684,2
TR-162,2024-06-10,2630,MVylJVRF,67,Female,6,ZXOqGV,Electronics,533.6078506202318,4
TR-163,2024-06-11,7256,AFiphgsx,42,Male,4,hKaDzy,Electronics,272.56811247174176,3
TR-164,2024-06-12,7418,DYRbawPq,38,Female,3,DePShp,Electronics,524.7950837985418,2
TR-165,2024-06-13,1869,EhwraDBS,57,Male,5,lmVvYF,Clothing,258.48495950939105,5
TR-166,2024-06-14,4125,WJKuqAEE,18,Male,1,zivyyD,Books,811.3215916570568,1
TR-167,2024-06-15,6029,lDciVRqE,46,Male,8,ccmzTt,Clothing,23.34737896456412,3
TR-168,2024-06-16,1603,sxfElmey,33,Female,7,NKSTpR,Books,859.2371111103646,2
TR-169,2024-06-17,4391,NLBZYXOh,63,Male,6,dhHvov,Books,208.28141868735577,4
TR-170,2024-06-18,7725,ZlcqFJle,21,Female,3,rrYbtk,Books,465.2360489574423,3
TR-171,2024-06-19,6181,KVwuXwiR,38,Male,1,WzYfPH,Books,433.34555155602044,4
TR-172,2024-06-20,5285,ioqbiFeD,56,Female,5,gdHpgf,Books,560.8117462508031,2
TR-173,2024-06-21,2626,NgzYlXjB,18,Male,6,tAZOUA,Electronics,214.7054086874798,1
TR-174,2024-06-22,5828,vrDvIpEi,51,Female,6,DdijIN,Books,600.0446175440603,5
TR-175,2024-06-23,5570,IZLeRhkG,33,Male,10,cPPKQA,Books,172.42523779160572,2
TR-176,2024-06-24,3413,iygmgeAD,66,Female,2,iFLNje,Electronics,929.996342137606,2
TR-177,2024-06-25,9829,KJZlcBvp,36,Male,6,qDBgKF,Clothing,748.4710203622681,1
TR-178,2024-06-26,6883,Ajohcpmj,48,Female,7,oMTMsh,Books,58.046447575003114,3
TR-179,2024-06-27,5832,GKEkzwLF,55,Female,10,YHMBeZ,Electronics,619.2517076777812,3
TR-180,2024-06-28,9734,UaNisCfv,25,Female,2,ZLpJaZ,Electronics,728.1620892534918,2
TR-181,2024-06-29,5041,MuTvpsGr,46,Male,2,AkOmWw,Books,45.575060673442856,2
TR-182,2024-06-30,6809,XYuESXaQ,26,Female,6,ipUTMv,Books,140.11947006170948,4
TR-183,2024-07-01,8405,eAaoiWgI,61,Female,6,PTMmVT,Clothing,903.2032066753692,5
TR-184,2024-07-02,9240,RVymDocW,45,Male,10,UKRqdL,Books,474.2167434073954,2
TR-185,2024-07-03,9668,uGQVoTNn,64,Male,9,dYhjKE,Clothing,277.3220940293138,3
TR-186,2024-07-04,3230,KunUleqf,58,Male,7,HlBTmi,Books,418.1499080972778,5
TR-187,2024-07-05,1001,MxDVnkKQ,60,Male,10,JTNlxb,Electronics,322.9102073402852,1
TR-188,2024-07-06,8009,bZHcIxMk,58,Female,7,zpYkVN,Books,378.8278624901403,4
TR-189,2024-07-07,6008,ofFjjRIv,28,Female,1,buihSN,Books,840.3036933871965,3
TR-190,2024-07-08,1481,kNUozRVM,47,Female,1,mjokqf,Electronics,358.746120062237,4
TR-191,2024-07-09,5438,qdCFKWfj,28,Female,6,eqNUhS,Books,187.78044018698841,3
TR-192,2024-07-10,3571,UuXIXsFA,49,Female,4,yWDpbj,Electronics,935.801124140267,4
TR-193,2024-07-11,1946,QgDbYiRy,61,Male,6,NlwqJQ,Electronics,28.54982046469537,4
TR-194,2024-07-12,6855,GgDqetqo,60,Male,5,GNiyfM,Books,50.16503341088235,3
TR-195,2024-07-13,9063,FawXSZGF,24,Female,6,dUrzRC,Clothing,168.044069275944,4
TR-196,2024-07-14,6448,LMOZdfPz,22,Male,6,kiJSUO,Electronics,132.0275884471186,4
TR-197,2024-07-15,1380,SIERRhjD,28,Female,6,gpijzf,Books,874.611207187706,4
TR-198,2024-07-16,2195,JYlkQwSt,53,Male,9,YyRLOE,Books,658.641935389066,4
TR-199,2024-07-17,1440,NMFdITpg,45,Female,9,wxNQLZ,Clothing,879.4571485050562,5
TR-200,2024-07-18,7940,CfkvOyym,63,Male,9,Xaayqn,Books,352.55744005899027,5
TR-201,2024-07-19,1978,SrpxyDHk,34,Male,9,oHjmRi,Clothing,57.933793525693254,5
TR-202,2024-07-20,9573,LLKuWSlE,39,Male,10,snpHmF,Electronics,992.4327186350943,1
TR-203,2024-07-21,1230,CWMulmhm,30,Male,5,ONHfXE,Clothing,675.0984462209249,1
TR-204,2024-07-22,8747,eVauZsid,42,Male,10,wGbYCa,Clothing,538.9864140952883,1
TR-205,2024-07-23,5785,gatohDRl,52,Male,1,YEsIqt,Books,300.9230894314632,2
TR-206,2024-07-24,5512,sZkhEEmF,39,Female,6,ExeoYw,Clothing,195.40268229371733,5
TR-207,2024-07-25,9289,uFxKxtQM,28,Male,5,NxBavc,Clothing,406.684686615016,2
TR-208,2024-07-26,6328,WIKnrCzx,53,Female,3,sQfzSW,Books,829.8118665995971,3
TR-209,2024-07-27,8920,fLHezGKE,70,Female,4,zyxnXz,Clothing,784.7781506990362,2
TR-210,2024-07-28,4197,tqKzWgBS,56,Female,2,nvfpDv,Electronics,783.3732886267951,5
TR-211,2024-07-29,6395,ohPNuxiW,30,Male,1,XaoCWF,Clothing,767.0524938602948,2
TR-212,2024-07-30,4377,jfrqofIq,25,Male,5,GNECue,Electronics,719.6281986696113,3
TR-213,2024-07-31,2140,BbUhuyze,62,Male,2,KUOgJk,Books,69.08365514217027,5
TR-214,2024-08-01,1642,XzbxDZlv,28,Female,4,YYSwuu,Books,429.7329928932873,5
TR-215,2024-08-02,2655,ZWSpTEhn,58,Male,1,nsrIcM,Electronics,14.654542971213305,2
TR-216,2024-08-03,2297,VWyXcyJC,65,Female,7,enAaJP,Clothing,871.403715783555,2
TR-217,2024-08-04,6320,sCxlCqIk,27,Female,10,wsYMKX,Electronics,941.0213070072147,5
TR-218,2024-08-05,4929,eVgScAem,35,Female,4,TdSkLJ,Books,207.25693070481523,2
TR-219,2024-08-06,5543,MonXguxK,44,Male,2,FSmLFf,Books,581.5648341440092,1
TR-220,2024-08-07,7852,kRGcHPMH,45,Male,2,QBfjFr,Electronics,351.5325875331211,2
TR-221,2024-08-08,9631,vnQzFvAV,56,Female,1,evVOjo,Electronics,170.65787012461018,3
TR-222,2024-08-09,6673,QGjYprEW,23,Female,6,KfWmDd,Electronics,857.5935389595821,2
TR-223,2024-08-10,8415,sKfLaWOy,50,Female,5,dEOJUi,Electronics,646.4397289107796,1
TR-224,2024-08-11,4270,BwsmHSus,45,Female,9,CdZxrV,Electronics,41.40363077981361,3
TR-225,2024-08-12,2707,CPyaFasK,45,Male,6,zdLBpw,Books,758.3798753674992,5
TR-226,2024-08-13,3565,YQlefneF,37,Male,7,gnIohs,Electronics,467.85907197895455,4
TR-227,2024-08-14,4845,OIBlAHQi,35,Male,3,XaJXCQ,Clothing,269.52722394082656,4
TR-228,2024-08-15,6949,PuFGdMjn,69,Female,4,dHUfrL,Electronics,650.1974775087776,1
TR-229,2024-08-16,8640,tlcItkFn,42,Female,8,inPobW,Clothing,241.02595092052175,2
TR-230,2024-08-17,6128,KaeEIibS,32,Female,7,qzyeZY,Books,792.7457944561462,1
TR-231,2024-08-18,8046,gAZhDYTh,21,Female,6,BHdboO,Books,521.0559478663547,1
TR-232,2024-08-19,4755,NetYGwZU,23,Male,9,UcgAUX,Electronics,904.703068148932,4
TR-233,2024-08-20,1217,WLdrRQpM,46,Male,10,EeQOrV,Electronics,382.9507031562281,4
TR-234,2024-08-21,1425,bNMoMVpH,20,Female,9,AswqbX,Clothing,331.70258426476096,2
TR-235,2024-08-22,7070,szlmkZiZ,38,Female,9,XwQMLP,Books,377.2702979790884,5
TR-236,2024-08-23,1151,DaPuvjtw,53,Male,5,IBpALE,Electronics,18.47882900577901,3
TR-237,2024-08-24,2955,UbDrDKpv,44,Female,8,pzlnGR,Clothing,479.7832246877306,1
TR-238,2024-08-25,3929,rtuVYJWp,52,Male,3,hyflvF,Clothing,145.136711084942,4
TR-239,2024-08-26,8502,rrIKKOSC,33,Male,8,XULCHu,Electronics,97.58834054374107,2
TR-240,2024-08-27,2017,szAPxQkL,45,Female,1,nBFSUQ,Clothing,175.26045390600993,5
TR-241,2024-08-28,9757,EhVWvViY,41,Female,3,axtVzW,Books,223.1138191632918,3
TR-242,2024-08-29,7982,lPbWbtip,22,Female,4,cWfvSW,Electronics,754.5769745770657,4
TR-243,2024-08-30,5950,nnYCQEOE,48,Female,6,PDNHsr,Electronics,67.70695068086812,1
TR-244,2024-08-31,9175,mCnHXQAe,27,Female,3,LQVQNd,Books,988.285089558488,2
TR-245,2024-09-01,2962,vBsbYpBz,48,Female,7,jiKFoN,Books,419.5769438259824,3
TR-246,2024-09-02,8962,AHTdIxbe,39,Male,10,pekyCh,Electronics,461.7141567705525,5
TR-247,2024-09-03,9681,dxXUvxtJ,55,Female,2,duVnOu,Clothing,770.4208246666022,5
TR-248,2024-09-04,3515,pqRguFfg,45,Female,3,AliFSi,Electronics,121.4231768785811,4
TR-249,2024-09-05,9205,yCuLgLPW,33,Male,1,gPaMWK,Clothing,586.663447329704,5
TR-250,2024-09-06,3142,phcslPdx,25,Male,8,CZGELx,Electronics,214.88008194047777,3
TR-251,2024-09-07,1273,yvTqMuRg,40,Male,6,utZZgV,Electronics,749.9240434006125,2
TR-252,2024-09-08,4196,GUxDximm,23,Male,8,gyXthS,Electronics,731.5040503437722,1
TR-253,2024-09-09,2710,FYRqzIIF,57,Female,3,TIgQkv,Clothing,443.9732991699844,1
TR-254,2024-09-10,2848,pMNdwVxB,36,Male,4,ZwOCNv,Books,550.0732960063566,3
TR-255,2024-09-11,8423,CgnlLDMi,24,Female,4,dpUIQR,Electronics,243.6215943944709,5
TR-256,2024-09-12,1529,UTTQisJW,33,Male,3,NMqrSk,Books,488.14460449660965,2
TR-257,2024-09-13,3450,cnhhBYnP,18,Male,5,RZbVJa,Electronics,316.58680984258683,5
TR-258,2024-09-14,3569,fNfymmce,37,Male,4,aYrxfF,Clothing,881.8962635281624,5
TR-259,2024-09-15,3820,xiFDyjaJ,51,Male,7,KZQSDg,Clothing,581.6581453985608,5
TR-260,2024-09-16,6921,GLdNvfdX,45,Female,7,IEfwKL,Books,998.4732651561756,4
TR-261,2024-09-17,4195,AtJARlvw,60,Female,10,CJoIcB,Electronics,725.4062905153164,3
TR-262,2024-09-18,6584,OXuihhzy,28,Female,3,VLSkiB,Clothing,75.55710968235515,2
TR-263,2024-09-19,9974,BgisZpKu,40,Female,7,oQoEpP,Books,275.23737905867637,3
TR-264,2024-09-20,4165,wNRhBJqk,55,Female,9,GSmbBK,Clothing,522.3738897531877,2
TR-265,2024-09-21,2696,fPSmUbDn,49,Female,4,RyDGHk,Clothing,792.4942921103719,1
TR-266,2024-09-22,7061,CSkEVTqj,66,Female,4,pPoOta,Clothing,140.88673046926675,3
TR-267,2024-09-23,9523,VGLVMkwO,29,Female,7,zqRBCc,Electronics,404.7914176939797,3
TR-268,2024-09-24,2762,mVfysFTN,51,Male,10,sgNafR,Electronics,773.6149820811477,4
TR-269,2024-09-25,3093,yyWuRrPe,30,Female,4,ZhTsWA,Clothing,62.7205819226046,2
